Item,Series,Time Stamp,Date,Time (s),NodeNumber,Measurement ID,Image,Intensity (Cnt/s),Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,% Acqs Unmarked,Acq Time (s),DLS Temp (C),Attenuation Level (%),Laser Power (%),Set Temp (C),Ramp Rate (C/min),Well,Insert Info,Row,Col,Configuration,Radius (nm),Amplitude,Diffusion Coefficient (cm²/s),Diameter (nm),Polydispersity (nm),%PD,PD Index,Mw-R (kDa),Baseline,SOS,Viscosity from Sample Rh (cP),Lambda (1/s),Sigma (1/s²),D10 (nm),D50 (nm),D90 (nm),Span (D90 - D10)/D50,Range1 Radius (I) (nm),Range1 %Pd (I),Range1 Mw-R (I) (kDa),Range1 %Intensity (I),Range1 %Mass (I),Range1 %Number (I),Range1 Diameter (I) (nm),Range1 Diffusion Coefficient (I) (cm²/s),Range1 Particle Concentration (I) (1/mL),Range2 Radius (I) (nm),Range2 %Pd (I),Range2 Mw-R (I) (kDa),Range2 %Intensity (I),Range2 %Mass (I),Range2 %Number (I),Range2 Diameter (I) (nm),Range2 Diffusion Coefficient (I) (cm²/s),Range2 Particle Concentration (I) (1/mL),Range3 Radius (I) (nm),Range3 %Pd (I),Range3 Mw-R (I) (kDa),Range3 %Intensity (I),Range3 %Mass (I),Range3 %Number (I),Range3 Diameter (I) (nm),Range3 Diffusion Coefficient (I) (cm²/s),Range3 Particle Concentration (I) (1/mL),Range4 Radius (I) (nm),Range4 %Pd (I),Range4 Mw-R (I) (kDa),Range4 %Intensity (I),Range4 %Mass (I),Range4 %Number (I),Range4 Diameter (I) (nm),Range4 Diffusion Coefficient (I) (cm²/s),Range4 Particle Concentration (I) (1/mL),Range5 Radius (I) (nm),Range5 %Pd (I),Range5 Mw-R (I) (kDa),Range5 %Intensity (I),Range5 %Mass (I),Range5 %Number (I),Range5 Diameter (I) (nm),Range5 Diffusion Coefficient (I) (cm²/s),Range5 Particle Concentration (I) (1/mL),RMS Error,Number Unfiltered Peaks (I),Number Filtered Peaks (I),Pre-correction Internal Standard Rh (I) (nm),Internal Standard Viscosity (I) (cP),Mw-S (Da),1/Mw-S (1/Da),Particle Concentration (1/mL),Particle Concentration Calculation,Particle Material,Particle Shape,Particle Core Real RI,Particle Core Imaginary RI,Sample,Concentration (mg/mL),Mw-R Model,dn/dc (mL/g),Conformation Model for SLS,A2 (mol mL/g^2),Viscosity Calculation: Use Internal Standard,Internal Standard Rh (nm),Internal Standard Rh Range Minimum (nm),Internal Standard Rh Range Maximum (nm),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,
K2,,23:57:32,2025-08-30,954,22,22,None,5919922.6563479798,13246026.858744435,8,8,0,100,5.0331602096557617,25.021373144436296,0.68430202081799507,44.999998807907104,25,5,K2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",11,2,2025-Aug-30 23:40:29,53.106859749385869,0.069369952725424691,4.5693346264490507e-08,106.21371949877174,17.853264879310434,33.617624848392381,0.3361762484839238,36617.2801504991,0.99986943854702293,0.3460626560243914,--,1572.7512994337715,1278.8725724573399,--,--,--,--,3.3720397903629706,12.860296466199708,57.85514349386618,1.7153754359080036,89.891445222841611,99.997820905774503,6.7440795807259413,7.1963270969801235e-07,--,71.003202960838692,47.753750605796405,72243.500619309925,97.242730480837693,8.7013410660013744,0.0021790741817074915,142.00640592167738,3.4176347409099453e-08,--,--,--,--,--,--,--,--,--,--,1355.4057432951904,17.009072821293341,71712432.805397615,1.0418940832543162,1.4072137111570264,2.0043796208666472e-08,2710.8114865903808,1.7903348451578254e-09,--,--,--,--,--,--,--,--,--,--,8.0250683831726649e-05,4,3,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89955726650514767,Aqueous,
L1,,23:58:17,2025-08-30,999,23,23,None,5254350.4532037443,8817589.3494635187,8,8,0,100,5.0331602096557617,24.993374039379212,0.68430202081799507,60.000002384185791,25,5,L1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",12,1,2025-Aug-30 23:40:29,50.463343314670894,0.095475721411715939,4.8051484106188881e-08,100.92668662934179,16.695348306928583,33.084110584632725,0.33084110584632725,32493.90821229498,0.99986150239928029,0.51274844270526354,--,1669.2321462982181,1326.276970601421,--,--,--,--,3.4220372091046136,11.876505700282987,59.882243477040632,1.994960941210719,90.77151752184281,99.997805225447948,6.8440744182092272,7.0859502426758462e-07,--,65.274235077572712,44.461889773414555,59335.075653858585,96.317197389647504,7.0375397083588451,0.0021947422989321572,130.54847015514542,3.7148478819374181e-08,--,--,--,--,--,--,--,--,--,--,1410.0101896584663,20.371173627272768,78655460.973054528,1.6878416691417675,2.1909427697983421,3.2253123005716659e-08,2820.0203793169326,1.719731216848445e-09,--,--,--,--,--,--,--,--,--,--,0.00011370612251399102,4,3,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90013732868739083,Aqueous,
L2,,23:59:01,2025-08-30,1043,24,24,None,6551450.4299028404,11701228.894453045,8,8,0,100,5.0331602096557617,24.977536005149734,6.6843003034591675,60.000002384185791,25,5,L2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",12,2,2025-Aug-30 23:40:29,52.051086152918806,0.074283374226270682,4.6566278340224049e-08,104.10217230583761,16.545230042039694,31.786522174450162,0.3178652217445016,34936.636798167936,0.99987042393258074,0.35843335533087051,--,1651.3658499460416,1242.1526156061793,--,--,--,--,3.2583947635930417,15.728004697626188,53.395506762734861,1.804044082058617,92.553427819886636,99.99830139340456,6.5167895271860834,7.4387099831790758e-07,--,70.234041062111245,46.996045191416393,70425.650259760398,98.19595591794139,7.4465721801133711,0.0016986065954469826,140.46808212422249,3.451069209536579e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00013590535957264864,4,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90046573013314857,Aqueous,
M1,,23:59:47,2025-08-30,1089,25,25,None,5311125.271070051,8851875.1000415049,8,8,0,100,5.0331602096557617,24.985604166803604,0,60.000002384185791,25,5,M1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",13,1,2025-Aug-30 23:40:29,48.322178685536564,0.080913018834900916,5.0170367637115419e-08,96.644357371073127,16.4179922405377,33.976101010221647,0.33976101010221649,29359.229533834168,1.0679941091501102,0.38270632083260947,--,1715.7485419467889,1417.3268268669224,--,--,--,--,--,--,--,--,--,--,--,--,--,25.738646722982235,0,6724.6099565575787,100,100,100,51.47729344596447,9.4190712346777698e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0021979340722656834,1,1,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90029841140290023,Aqueous,
M2,,00:00:26,2025-08-31,1128,26,26,None,6073339.4977123365,17352398.860401981,8,8,0,100,5.0331602096557617,24.973070164173649,0,34.999999403953552,25,5,M2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",13,2,2025-Aug-30 23:40:29,52.345449348382978,0.082966228491740845,4.6298957143998181e-08,104.69089869676596,14.224380534373523,27.17405373617818,0.27174053736178183,35400.678269556774,0.99993492141012763,0.35111405824665431,--,1736.8749153189744,1089.67966124542,--,--,--,--,4.083860309747017,13.607556822016218,90.565397734065712,2.1423575333737599,91.293291008479343,99.997123994097166,8.1677206194940339,5.9344334336799156e-07,--,62.811903002712171,31.780148785530638,54229.701654997691,97.857642466626245,8.706708991520653,0.0028760059028374043,125.62380600542434,3.8584083592555133e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0001118893022137802,4,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90055836617846363,Aqueous,
N1,,00:01:12,2025-08-31,1174,27,27,None,5727481.1037468147,9545801.460261954,8,8,0,100,5.0331602096557617,24.982439623723184,0,60.000002384185791,25,5,N1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",14,1,2025-Aug-30 23:40:29,48.138676524866298,0.080005782354103355,5.0357409247507832e-08,96.277353049732596,14.964981175284576,31.087230176663319,0.31087230176663316,29099.026520395164,1.0000315000341407,0.32741288932625451,--,1804.0251062682096,1318.5690257042659,--,--,--,--,3.9991985750261381,16.741066814304169,86.233300819032195,2.3608136647186955,95.225759328945031,99.997638628487749,7.9983971500522761,6.0615620577936578e-07,--,55.566196538786393,27.499591017885432,40708.646657814534,97.639186335281309,4.7742406710549616,0.0023613715122450282,111.13239307757279,4.3626146567436718e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00010758800120896283,5,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90036403185298797,Aqueous,
N2,,00:01:56,2025-08-31,1218,28,28,None,5854066.3912116503,16725904.259730881,8,8,0,100,5.0331602096557617,25.008648160697472,0,34.999999403953552,25,5,N2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",14,2,2025-Aug-30 23:40:29,52.311090755116261,0.083415846520139572,4.6372877784835197e-08,104.62218151023252,13.388955766891998,25.594870176899338,0.25594870176899337,35346.333747908815,0.99993929016365901,0.38126541277207993,--,1764.5741291862971,1043.7625898772537,--,--,--,--,3.7868332017708144,5.7508595527669408,75.897811715202522,2.0198127776090495,92.769887849863323,99.998233908711953,7.5736664035416288,6.405922017489597e-07,--,57.636902795197933,23.068532154863519,44347.179515236996,91.758524599304621,4.5004080126739368,0.0017627036271838663,115.27380559039587,4.2087893358845391e-08,--,362.74532772380536,15.297515142547383,3281973.0679206545,6.2216626230863206,2.729704137462734,3.3876608528150355e-06,725.49065544761072,6.6873799136165502e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00014861553795803505,4,3,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89982081317558849,Aqueous,
O1,,00:02:40,2025-08-31,1262,29,29,None,5057241.1465941239,33714939.637582824,8,8,0,100,5.0331602096557617,25.026103486709331,0,15.000000596046448,25,5,O1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",15,1,2025-Aug-30 23:40:29,821.90658236649995,0.035191900273209738,2.952808658349836e-09,1643.8131647329999,469.14125666284906,57.079632494493431,0.57079632494493426,22247450.336541444,1.0023563654436756,0.20824456529127519,--,4.6284530586675569e-08,149.16132327254874,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2634.2973326132101,223.27912031897387,339508098.30762184,100,99.999999999999986,100,5268.5946652264201,9.2128281903509278e-10,--,--,--,--,--,--,--,--,--,--,0.00025396556451496568,2,1,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89945933008742962,Aqueous,
O2,,00:03:25,2025-08-31,1307,30,30,None,7379934.9484183276,57655742.214086957,8,8,0,100,5.0331602096557617,25.042844284606574,36.000001430511475,20.000000298023224,25,5,O2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",15,2,2025-Aug-30 23:40:29,911.0143730113532,0.032641889470766586,2.6651658734933953e-09,1822.0287460227064,520.00365492891717,57.079632367384924,0.57079632367384925,28305823.080162659,1.0010544201597715,0.55088705347673605,--,1.0060911319052304e-06,134.63102866830135,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,563.56414581898969,39.9333456269379,9201018.8443444557,67.352364658200543,17.501206279952562,99.005592133486985,1127.1282916379794,4.3083017882256976e-09,--,--,--,--,--,--,--,--,--,--,5729.8725573847623,70.322154687895278,2091636639.6153843,32.64763534179945,82.498793720047445,0.99440786651303215,11459.745114769525,4.237449250215147e-10,--,0.00044168884829683157,2,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89911287655944439,Aqueous,
P1,,00:04:10,2025-08-31,1352,31,31,None,6112076.5329977833,38200479.185083389,8,8,0,100,5.0331602096557617,25.035198309772159,36.000001430511475,25,25,5,P1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",16,1,2025-Aug-30 23:40:29,841.47325529021941,0.048564022337750867,2.8848391465441005e-09,1682.9465105804388,480.30983741895778,57.079631990597449,0.57079631990597446,23506501.193460267,1.0026653696740804,0.13785611656857721,--,4.1831459970716358e-06,145.72783703593373,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,606.15185666299112,35.397274766459738,10910953.631024068,80.548210980847244,32.299728745827991,99.309437042244951,1212.3037133259822,4.0047967533996601e-09,--,--,--,--,--,--,--,--,--,--,5825.9742504501864,80.837106168222888,2174643223.9190111,19.451789019152763,67.700271254171994,0.69056295775505916,11651.948500900373,4.1667108079709468e-10,--,0.00028190192467490943,4,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89927108303556047,Aqueous,
P2,,00:04:54,2025-08-31,1396,32,32,None,6885999.8626437895,56442619.660252191,8,8,0,100,5.0331602096557617,25.02110386683546,38.999998569488525,20.000000298023224,25,5,P2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",16,2,2025-Aug-30 23:40:29,891.22579906996782,0.030519361178698495,2.722781253485012e-09,1782.4515981399356,508.70841062223531,57.079632473958256,0.57079632473958253,26888092.567329399,1.0034593283527438,0.4259927737417345,--,2.0183792792654466e-07,137.54147373858041,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,528.68009524897127,15.875684774506665,7923289.8608683851,100,100,100,1057.3601904979425,4.5899456403539153e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00042069470607746515,2,1,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89956284214159832,Aqueous,
